Sample.ID	adaptation	temperature	co2	water.loss	body.size	weight.loss	eggs
Q12	cold.adapted	23	0.01099212	9.458793933	0.0175	0.0019	45
X23	heat.adapted	23	0.010168587	9.484036067	0.0174	0.0017	37
X21	heat.adapted	23	0.009516	9.523670133	0.0157	0.0017	36
X14	heat.adapted	23	0.007634	9.557957067	0.0144	0.0006	38
aphla14	heat.adapted	23	0.012516387	9.568319533	0.0188	0.001	46
R21	cold.adapted	23	0.010636	9.665024533	0.0156	0.0013	34
X18	heat.adapted	23	0.01195	9.700892667	0.0167	0.0009	35
Y21	heat.adapted	23	0.01005	9.7142662	0.0145	0.0012	33
S12	cold.adapted	23	0.009916	9.791585533	0.0173	0.0025	37
Y19	heat.adapted	23	0.011346667	9.807776333	0.0182	0.0012	36
Q13	cold.adapted	23	0.00921702	9.83731	0.0162	0.0016	32
Q14	cold.adapted	23	0.009427333	9.846200867	0.0156	0.0017	37
R23	cold.adapted	23	0.008995333	9.854169467	0.0173	0.002	40
aphla20	heat.adapted	23	0.008690667	9.902229733	0.0171	0.0013	44
Q10	cold.adapted	23	0.007983333	9.986886333	0.0132	0.0012	33
P8	cold.adapted	23	0.009165333	10.00888053	0.0143	0.001	41
Q3	cold.adapted	23	0.008478667	10.07479027	0.0165	0.0019	40
O3	cold.adapted	23	0.007746	10.0896804	0.0172	0.0016	47
P19	cold.adapted	23	0.009526667	10.13262387	0.0148	0.0021	37
Q11	cold.adapted	23	0.010417233	10.1373998	0.0166	0.0019	34
P3	cold.adapted	23	0.008095333	10.31008453	0.0145	0.0015	27
X17	heat.adapted	23	0.011229693	10.39449787	0.0171	0.0018	29
R15	cold.adapted	23	0.009574273	10.41094807	0.0155	0.0017	31
Q22	cold.adapted	23	0.009873333	10.49004453	0.016	0.0018	47
Q9	cold.adapted	23	0.008774	10.52334247	0.0165	0.0011	28
P11	cold.adapted	23	0.009142	10.56560233	0.0156	0.0016	34
R14	cold.adapted	23	0.008595333	10.56664833	0.0164	0.0012	23
P5	cold.adapted	23	0.00933804	10.58289127	0.0144	0.0016	34
O14	cold.adapted	23	0.009547333	10.6688012	0.015	0.0021	30
Q16	cold.adapted	23	0.010124	10.7007836	0.0165	0.0014	35
Q19	cold.adapted	23	0.007752667	10.72770887	0.0169	0.0017	35
P6	cold.adapted	23	0.011488	10.7408326	0.0167	0.0024	35
Q18	cold.adapted	23	0.008528	10.76758047	0.0138	0.002	29
Q5	cold.adapted	23	0.0092547	10.8570434	0.0146	0.0017	31
X19	heat.adapted	23	0.007745333	10.91142927	0.0176	0.0019	25
O8	cold.adapted	23	0.009755133	10.92099107	0.0152	0.0024	29
P4	cold.adapted	23	0.011079953	10.93914827	0.0161	0.0016	23
R16	cold.adapted	23	0.008592	11.00891247	0.0153	0.0024	33
Q20	cold.adapted	23	0.012710827	11.12721647	0.0185	0.0018	36
R10	cold.adapted	23	0.009272	11.1541788	0.0162	0.0027	45
R4	cold.adapted	23	0.009936793	11.198478	0.016	0.002	38
P7	cold.adapted	23	0.009546	11.2149162	0.0138	0.0011	38
P18	cold.adapted	23	0.00970638	11.23806573	0.0163	0.0023	33
O15	cold.adapted	23	0.009787313	11.24574507	0.0152	0.0022	35
P21	cold.adapted	23	0.009820667	11.30452873	0.0156	0.0012	39
P20	cold.adapted	23	0.00899	11.3140688	0.0153	0.0018	35
O7	cold.adapted	23	0.009797827	11.356875	0.0155	0.0016	38
R20	cold.adapted	23	0.007894	11.42065967	0.014	0.0011	41
O22	cold.adapted	23	0.007368667	11.4363182	0.0148	0.0025	36
R19	cold.adapted	23	0.006853333	11.5210032	0.0156	0.0017	34
O17	cold.adapted	23	0.01068024	11.59449313	0.016	0.0013	43
R12	cold.adapted	23	0.007338667	11.66496333	0.0151	0.0018	36
P15	cold.adapted	23	0.010824667	11.7202156	0.0165	0.0021	36
O5	cold.adapted	23	0.010273333	11.76602507	0.0168	0.0024	27
Q6	cold.adapted	23	0.010500667	12.11269427	0.0162	0.0016	44
P22	cold.adapted	23	0.00976134	12.149172	0.0151	0.0023	43
O12	cold.adapted	23	0.008038667	12.159556	0.0145	0.0021	34
O21	cold.adapted	23	0.010243193	12.36455607	0.0159	0.0022	37
R6	cold.adapted	23	0.009657333	12.46630827	0.016	0.0022	19
O20	cold.adapted	23	0.009714	12.47950227	0.0157	0.0011	34
R3	cold.adapted	23	0.00722	12.493372	0.0164	0.0018	48
O10	cold.adapted	23	0.007429333	12.49693727	0.0139	0.0014	31
P16	cold.adapted	23	0.009924	12.718568	0.0155	0.0018	43
P23	cold.adapted	23	0.009978433	12.7767466	0.0152	0.0011	49
P12	cold.adapted	23	0.009438667	13.35707733	0.0152	0.0019	44
O18	cold.adapted	23	0.008560667	13.39627467	0.0159	0.0024	30
Q21	cold.adapted	23	0.01000514	13.4806348	0.0157	0.0021	42
O9	cold.adapted	23	0.008466667	13.69629333	0.0149	0.0016	38
R22	cold.adapted	23	0.009615273	13.87859333	0.0148	0.0008	37
P9	cold.adapted	23	0.007206667	13.88852533	0.0146	0.0018	38
R18	cold.adapted	23	0.009399207	14.12616867	0.0159	0.002	44
R9	cold.adapted	23	0.007782667	14.40067133	0.0154	0.0013	43
D3	cold.adapted	35	0.013806667	9.3370134	0.0172	0.0035	81
B12	cold.adapted	35	0.019595827	15.031568	0.0165	0.0012	55
N16	heat.adapted	35	0.019112333	16.32150933	0.0181	0.0046	68
B10	cold.adapted	35	0.01366	17.48474467	0.0137	0.0021	45
J7	heat.adapted	35	0.018130067	17.721268	0.0157	0.0024	49
C15	cold.adapted	35	0.0136912	17.78972533	0.014	0.0032	60
K17	heat.adapted	35	0.019060293	17.815488	0.0182	0.0048	56
L17	heat.adapted	35	0.01640474	21.038458	0.0169	0.0033	69
